Timestamp,Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [1 (наиболее)],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [2],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [3],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [4],Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [5 (наименее предпочительно)],"Пожалуйста, объясните, почему вы выбрали именно такой ответ. На каких метриках (перечислите 3-5) вы основывались?",Выберите не менее 2 вариантов:,Ваше полное имя:,Ваша рабочая должность или компания:,Ваш опыт работы:,Сколько багов вы зарепортили за последний год?,"Куда направить результаты наших исследований? (Телеграм, почта и т.д.)"
12/3/2023 13:58:29,quick-xml,SWXMLHash,Fuzi,libexpat,xgen,"Достаточно много звёзд
Репозиторий поддерживается, актуален
Баги закрываются, пулл реквесты принимаются
Не слишком много строк кода (652к строк явно смущают, вряд ли там все можно протестировать) ","Укажите его приоритет и степень серьезности, Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему",,,,,
12/6/2023 19:14:15,quick-xml,SWXMLHash,Fuzi,xgen,libexpat,"количество контрибьютеров, закрытые баг репорты, дата релиза","Лучше объяснить, как баг воспроизвести",,Flutter-разработчик,4 года,,
12/6/2023 19:19:26,SWXMLHash,Fuzi,quick-xml,xgen,libexpat,"SWXMLHash часто используется в сообществе Swift для работы с XML данными и имеет хорошую документацию. Fuzi также является популярным выбором. quick-xml также может быть удобным, но при выборе между quick-xml и Fuzi, предпочтение может зависеть от конкретных требований проекта.

xgen и libexpat могут быть менее предпочтительными, особенно если их поддержка ограничена или если они не соответствуют требованиям проекта.","Укажите его приоритет и степень серьезности, Лучше объяснить, как баг воспроизвести",,,0,0,
12/6/2023 19:44:43,quick-xml,libexpat,xgen,Fuzi,SWXMLHash,"Поддержка кода, низкоуровневый код (личный предпочтения), форкают чаще(можно найти нужные доработки)","Лучше объяснить, как баг воспроизвести, Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему, Избавиться от лишнего 3-минутного видеоролика",,Разработчик,Более 4 лет,Не считаю,
12/6/2023 21:19:25,libexpat,SWXMLHash,quick-xml,Fuzi,xgen,"Если предполагается, что прочие условие равны, то расположил бы в указанном порядке предпочтения. Сочетание факторов: Language, Closed bug reports, Stars, Release date, Contributors. Дальше скорее опосредованное влияние, непрямое: Lines of code, last commit, pull requests. Forks кажется не повлиял бы никак на мой выбор.","Укажите его приоритет и степень серьезности, Прочитать руководство пользователя, возможно, что-то делаете не так",,Фрилансер,БОльшой ),"Навскидку, 3-5. Но не все репортю, потому что бывают известные баги",
12/7/2023 7:12:58,Fuzi,SWXMLHash,xgen,quick-xml,libexpat,"Fuzi - это библиотека разбора XML для языка программирования Swift. Fuzi обладает простым и интуитивно понятным API, обеспечивает высокую производительность и надежность. Она имеет хорошую поддержку, активно развивается и обновляется. (Closed bug reports, Stars, Release date (days ago))","Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему, Избавиться от лишнего 3-минутного видеоролика",,,,,
12/7/2023 8:25:59,SWXMLHash,Fuzi,xgen,quick-xml,libexpat,"Количество кода, сколько форков, коммиты, закрытых ишью","Укажите его приоритет и степень серьезности, Избавиться от лишнего 3-минутного видеоролика",,,,,
12/7/2023 22:56:48,libexpat,quick-xml,Fuzi,SWXMLHash,xgen,"Language, Lines of code, Last commit","Не сообщайть, так как это примитивная ошибка., Прочитать руководство пользователя, возможно, что-то делаете не так",,,,,
12/7/2023 23:13:28,xgen,SWXMLHash,quick-xml,Fuzi,libexpat,У них более лучшие параметры,"Укажите его приоритет и степень серьезности, Прочитать руководство пользователя, возможно, что-то делаете не так",,,,,
12/8/2023 19:45:50,libexpat,quick-xml,SWXMLHash,xgen,Fuzi,"звезды, коммиты, закрытые проблемы, участники","Лучше объяснить, как баг воспроизвести, Прочитать руководство пользователя, возможно, что-то делаете не так",,,,,
12/8/2023 20:05:06,SWXMLHash,xgen,quick-xml,Fuzi,libexpat,"Они предоставляют разработчикам возможность парсинга и обработки XML-данных, что может быть полезно при создании приложений для работы с книгами и другими текстовыми данными.","Укажите его приоритет и степень серьезности, Избавиться от лишнего 3-минутного видеоролика",,Инженер отдела эксплуатации,имею,не репортил,
12/8/2023 21:19:27,xgen,libexpat,Fuzi,SWXMLHash,quick-xml,"Я основывался на метриках closed bug reports, forks и closed issues","Укажите его приоритет и степень серьезности, Избавиться от лишнего 3-минутного видеоролика",,,,52,
